ISO;YEAR;BANKING_CRISIS
CYP;2017;1.0
CYP;2018;1.0
CYP;2019;1.0
CYP;2020;1.0
CYP;2021;1.0
CYP;2022;1.0
CYP;2023;
CZE;1950;
CZE;1951;
CZE;1952;
CZE;1953;
CZE;1954;
CZE;1955;
CZE;1956;
CZE;1957;
CZE;1958;
CZE;1959;
CZE;1960;
CZE;1961;
CZE;1962;
CZE;1963;
CZE;1964;
CZE;1965;
CZE;1966;
CZE;1967;
CZE;1968;
CZE;1969;
CZE;1970;
CZE;1971;
CZE;1972;
CZE;1973;
CZE;1974;
CZE;1975;
CZE;1976;
CZE;1977;
CZE;1978;
CZE;1979;
CZE;1980;
CZE;1981;
CZE;1982;
CZE;1983;
CZE;1984;
CZE;1985;
CZE;1986;
CZE;1987;
CZE;1988;
CZE;1989;
CZE;1990;
CZE;1991;
CZE;1992;
CZE;1993;
CZE;1994;
CZE;1995;1.0
CZE;1996;0.0
CZE;1997;0.0
CZE;1998;1.0
CZE;1999;1.0
CZE;2000;0.0
CZE;2001;0.0
CZE;2002;0.0
CZE;2003;0.0
CZE;2004;0.0
CZE;2005;0.0
CZE;2006;0.0
CZE;2007;0.0
CZE;2008;0.0
CZE;2009;0.0
CZE;2010;0.0
CZE;2011;0.0
CZE;2012;0.0
CZE;2013;0.0
CZE;2014;0.0
CZE;2015;0.0
CZE;2016;0.0
CZE;2017;0.0
CZE;2018;0.0
CZE;2019;0.0
CZE;2020;1.0
CZE;2021;0.0
CZE;2022;0.0
CZE;2023;
DEU;1950;
DEU;1951;
DEU;1952;
DEU;1953;
DEU;1954;
DEU;1955;
DEU;1956;
DEU;1957;
DEU;1958;
DEU;1959;
DEU;1960;
DEU;1961;
DEU;1962;
DEU;1963;
DEU;1964;
DEU;1965;
DEU;1966;
DEU;1967;
DEU;1968;
DEU;1969;
DEU;1970;
DEU;1971;
DEU;1972;
DEU;1973;
DEU;1974;0.0
DEU;1975;0.0
DEU;1976;0.0
DEU;1977;0.0
DEU;1978;0.0
DEU;1979;0.0
DEU;1980;0.0
DEU;1981;0.0
DEU;1982;0.0
DEU;1983;0.0
DEU;1984;0.0
