ISO;YEAR;crisis_FR;crisis_EMP
AGO;1947Q1;;
AGO;1947Q2;;
AGO;1947Q3;;
AGO;1947Q4;;
AGO;1948Q1;;
AGO;1948Q2;;
AGO;1948Q3;;
AGO;1948Q4;;
AGO;1949Q1;;
AGO;1949Q2;;
AGO;1949Q3;;
AGO;1949Q4;;
AGO;1950Q1;;
AGO;1950Q2;;
AGO;1950Q3;;
AGO;1950Q4;;
AGO;1951Q1;;
AGO;1951Q2;;
AGO;1951Q3;;
AGO;1951Q4;;
AGO;1952Q1;;
AGO;1952Q2;;
AGO;1952Q3;;
AGO;1952Q4;;
AGO;1953Q1;;
AGO;1953Q2;;
AGO;1953Q3;;
AGO;1953Q4;;
AGO;1954Q1;;
AGO;1954Q2;;
AGO;1954Q3;;
AGO;1954Q4;;
AGO;1955Q1;;
AGO;1955Q2;;
AGO;1955Q3;;
AGO;1955Q4;;
AGO;1956Q1;;
AGO;1956Q2;;
AGO;1956Q3;;
AGO;1956Q4;;
AGO;1957Q1;;
AGO;1957Q2;;
AGO;1957Q3;;
AGO;1957Q4;;
AGO;1958Q1;;
AGO;1958Q2;;
AGO;1958Q3;;
AGO;1958Q4;;
AGO;1959Q1;0.0;
AGO;1959Q2;0.0;
AGO;1959Q3;0.0;
AGO;1959Q4;0.0;
AGO;1960Q1;0.0;
AGO;1960Q2;0.0;
AGO;1960Q3;0.0;
AGO;1960Q4;0.0;
AGO;1961Q1;0.0;
AGO;1961Q2;0.0;
AGO;1961Q3;0.0;
AGO;1961Q4;0.0;
AGO;1962Q1;0.0;
AGO;1962Q2;0.0;
AGO;1962Q3;0.0;
AGO;1962Q4;0.0;
AGO;1963Q1;0.0;
AGO;1963Q2;0.0;
AGO;1963Q3;0.0;
AGO;1963Q4;0.0;
AGO;1964Q1;0.0;
AGO;1964Q2;0.0;
AGO;1964Q3;0.0;
AGO;1964Q4;0.0;
AGO;1965Q1;0.0;
AGO;1965Q2;0.0;
AGO;1965Q3;0.0;
AGO;1965Q4;0.0;
AGO;1966Q1;0.0;
AGO;1966Q2;0.0;
AGO;1966Q3;0.0;
AGO;1966Q4;0.0;
AGO;1967Q1;0.0;
AGO;1967Q2;0.0;
AGO;1967Q3;0.0;
AGO;1967Q4;0.0;
AGO;1968Q1;0.0;
AGO;1968Q2;0.0;
AGO;1968Q3;0.0;
AGO;1968Q4;0.0;
AGO;1969Q1;0.0;
AGO;1969Q2;0.0;
AGO;1969Q3;0.0;
AGO;1969Q4;0.0;
AGO;1970Q1;0.0;
AGO;1970Q2;0.0;
AGO;1970Q3;0.0;
AGO;1970Q4;0.0;
AGO;1971Q1;0.0;
AGO;1971Q2;0.0;
AGO;1971Q3;0.0;
AGO;1971Q4;0.0;
AGO;1972Q1;0.0;
AGO;1972Q2;0.0;
AGO;1972Q3;0.0;
AGO;1972Q4;0.0;
AGO;1973Q1;0.0;
AGO;1973Q2;0.0;
